0,1,2,3,4,5,6
1,1,1,CC(Cl)(Cl)Cl,1,16.8,17.48448
13,13,13,BrC(Br)=C,13,16.2,16.986223
14,14,14,CC(Cl)(Cl)[N+]([O-])=O,14,16.8,16.988773
20,20,20,CCCC(OCC)OCC,20,15.4,15.397498
21,21,21,CCOC(C)OCC,21,15.0,15.463374
34,34,34,C[CH]=[C]=[CH2],34,15.0,14.962155
40,40,40,CC(Cl)CCl,40,17.3,17.606768
64,64,64,C1COCO1,64,18.1,17.371363
87,87,87,CCC=C,87,13.2,14.844583
91,91,91,FC(Cl)=C,91,16.0,15.8850565
95,95,95,CCOc1ccccc1Cl,95,19.2,19.38219
98,98,98,CCOc1ccc(Cl)cc1,98,19.3,19.271252
112,112,112,COc1ccccc1[N+]([O-])=O,112,19.6,19.825077
121,121,121,CCCCCCCCO,121,16.0,15.940628
122,122,122,CCCCCCC=C,122,15.3,15.420409
123,123,123,CCCCCO,123,15.9,15.82095
130,130,130,CC(C)C(O)C(C)(C)CO.CC(C)C(O)=O,130,15.1,14.287409
134,134,134,[O-][N+](=O)c1ccc(F)c(F)c1F,134,19.5,19.187517
143,143,143,Sc1cc(Cl)c(Cl)cc1Cl,143,21.0,19.655231
146,146,146,Oc1c(Cl)cc(Cl)cc1Cl,146,20.3,20.25014
147,147,147,[O-][N+](=O)c1ccc(Cl)c(F)c1Cl,147,19.9,20.171814
161,161,161,OCC1CCC(CO)O1,161,17.9,18.122362
166,166,166,COc1cccc(OC)c1O,166,19.3,19.607445
186,186,186,NC(=O)CCl,186,17.6,17.637756
187,187,187,CC(=O)OC(OC(C)=O)C(Cl)=C,187,16.7,15.606325
189,189,189,ClC1CCCCC1=O,189,18.5,17.947638
197,197,197,Clc1sccc1,197,19.2,20.021978
200,200,200,CC\C(=C/C)C=O,200,16.1,16.201622
201,201,201,CCCCC(CC)COC(C)=O,201,15.8,15.935582
202,202,202,CCCCC(CC)COC(=O)C=C,202,15.3,15.89865
205,205,205,CCC(CC)CO,205,15.8,15.097407
206,206,206,CCC(=C)CC,206,14.9,14.421297
216,216,216,Cc1cnccn1,216,18.3,18.345087
219,219,219,CCC(C)CO,219,16.0,15.532825
230,230,230,NC(=O)CN1CCCC1=O,230,17.5,18.021912
241,241,241,Cc1ccccc1N,241,19.4,20.590082
246,246,246,Clc1ccc(CC#N)cc1Cl,246,20.5,19.695639
252,252,252,Oc1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,252,19.5,19.465712
269,269,269,COC(C)(C)CCO,269,16.0,15.788203
276,276,276,CC(C)C=C,276,14.0,14.878284
279,279,279,CCCCc1cccc(C)c1,279,17.4,17.644999
288,288,288,COc1ccc(Cl)cc1,288,19.6,18.670427
293,293,293,Sc1ccc(Cl)cc1,293,20.8,19.343994
295,295,295,CCN1CCOCC1,295,17.7,17.333124
315,315,315,O=C1c2ccccc2C(=O)c3ccccc13,315,20.3,20.300333
317,317,317,CC(=C)c1ccccc1,317,18.5,18.303965
325,325,325,CC(C)(O)C#N,325,16.6,16.079945
330,330,330,CC(=O)Oc1ccccc1C(O)=O,330,19.0,18.868778
337,337,337,c1ccc2nc3ccccc3cc2c1,337,20.0,20.445408
343,343,343,Nc1ncnc2nc[nH]c12,343,20.0,20.234743
345,345,345,OCC(O)C(O)C(O)CO,345,18.0,18.245775
348,348,348,OC(=O)CCC=C,348,16.7,16.28384
378,378,378,O=Cc1ccccc1,378,19.4,19.339302
379,379,379,NC(=O)c1ccccc1,379,21.2,19.3099
384,384,384,OC(c1ccccc1)C(=O)c2ccccc2,384,19.9,19.778988
385,385,385,N#Cc1ccccc1,385,18.8,19.950247
387,387,387,s1cnc2ccccc12,387,20.6,20.454798
391,391,391,OCc1ccccc1,391,18.4,19.093424
392,392,392,NCc1ccccc1,392,19.0,18.98518
397,397,397,CC(=C)C(=O)OCc1ccccc1,397,16.8,18.338505
400,400,400,ClCOCCl,400,17.2,17.462526
401,401,401,O(c1ccccc1)c2cccc(Oc3cccc(Oc4ccccc4)c3)c2,401,19.6,19.61973
402,402,402,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,402,19.2,18.016178
406,406,406,[Br],406,18.2,15.650541
418,418,418,CC(=O)C(C)=O,418,15.7,16.143919
441,441,441,ClC(Cl)(Cl)Cl,441,17.8,16.100597
455,455,455,Clc1ccccc1,455,19.0,19.030737
459,459,459,CSCCl,459,16.6,16.8139
463,463,463,FC(F)=C(F)Cl,463,15.3,16.08391
466,466,466,C1CC[C@@H]2CCCC[C@@H]2C1,466,17.6,17.99878
474,474,474,N#CC#N,474,15.1,17.30404
484,484,484,OC1CCCCC1,484,17.4,17.174158
488,488,488,C1CCC(CC1)c2ccccc2,488,18.7,19.144379
492,492,492,C1C=CC=C1,492,17.0,18.130238
502,502,502,CC(=C)C1CCC(=CC1)C,502,17.2,17.19773
508,508,508,CC(CCl)OC(C)CCl,508,19.0,17.392284
510,510,510,ClCCOCCCl,510,18.8,17.555614
520,520,520,CC(C)CCCCOC(=O)c1ccccc1C(=O)OCCCCC(C)C,520,16.8,16.89016
524,524,524,CC(C)O[P](F)(=O)OC(C)C,524,15.7,16.002047
540,540,540,CCCCNCCCC,540,15.0,15.466514
550,550,550,COC(Cl)Cl,550,17.1,16.505932
556,556,556,CCOCC,556,14.5,14.282889
562,562,562,CCOC(=O)CCC(=O)OCC,562,16.2,16.339014
563,563,563,CCO[S](=O)(=O)OCC,563,15.7,16.434372
564,564,564,CCSCC,564,16.8,16.205149
565,565,565,CCSSCC,565,17.0,16.461996
577,577,577,CCCOCCOCCO,577,16.0,15.942037
592,592,592,CNC,592,15.3,15.317297
600,600,600,CC(C)=C=O,600,15.2,16.08779
608,608,608,C[S](C)(=O)=O,608,19.0,14.741703
609,609,609,C[S](C)=O,609,18.4,16.898594
612,612,612,c1ccc(cc1)C#Cc2ccccc2,612,18.0,17.999569
627,628,627,CCCCCCCCCCCCO,627,16.0,16.256151
632,633,632,O=C1CCCCCN1,632,19.4,17.973343
639,640,639,CCOC(C)=O,639,15.8,15.552675
641,642,641,CCC#C,641,15.1,16.006262
642,643,642,CCOC(=O)C=C,642,15.5,15.554012
645,646,645,CCc1ccccc1,645,17.8,18.117216
646,647,646,CCOC(=O)c1ccccc1,646,17.9,18.601849
647,648,647,CCBr,647,16.5,16.060482
648,649,648,CCCCOCC,648,14.5,15.53983
659,660,659,CCOC#C,659,15.4,15.28982
663,664,663,CCI,663,17.5,15.677081
681,682,681,ClCCCl,681,18.0,17.939623
683,684,683,OCCO,683,17.0,16.994696
686,687,686,CCCCOC.OCCO,686,15.5,15.792644
698,699,698,CC(C)(C)OCCO,698,15.3,15.404865
699,700,699,CCCCOCCO,699,16.0,15.844981
702,703,702,CC(C)COCCO,702,15.2,15.662352
709,710,709,C1CS1,709,19.3,18.151855
710,711,710,NCCN,710,16.6,17.570652
719,720,719,Fc1ccccc1,719,18.1,19.289194
725,726,725,OC=O,725,14.6,14.960329
729,730,729,O=Cc1occc1,729,18.6,18.06049
742,744,742,CCCCCCC,742,15.3,15.177968
747,749,747,OC(F)(C(F)F)C(F)(F)F,747,17.2,12.952727
748,750,748,FC(F)=C(F)C(F)=C(F)F,748,13.8,15.059781
751,753,751,Cc1c(C)c(C)c(C)c(C)c1C,751,19.2,18.20857
763,765,763,S,763,17.9,14.952973
766,768,766,[nH]1ccc2ccccc12,766,20.5,19.584478
769,771,769,IC(=C)C=C,769,17.2,19.89958
770,772,770,CC(C)CCOC(C)=O,770,15.3,15.628571
775,777,775,CC(C)CO,775,15.1,15.662211
776,778,776,CC(C)COC=O,776,15.5,15.302226
779,781,779,CC(C)=C,779,14.5,14.407849
791,793,791,CC(C)OC(C)C,791,15.1,15.215725
794,796,794,CC(C)CC(O)=O,794,16.4,15.792962
795,797,795,o1cccn1,795,18.8,17.95479
804,806,804,Nc1cccc(Cl)c1,804,20.2,19.739792
805,807,805,Cc1cccc(O)c1,805,18.5,18.81067
815,817,815,CC(=C)C(O)=O,815,15.8,16.620825
819,821,819,CO,819,14.7,14.699109
831,833,831,CBr,831,17.0,15.673871
835,837,835,COC(=O)CC#N,835,16.9,17.136997
836,838,836,CC1CCCCC1,836,16.0,15.962747
840,842,840,CC\C(C)=N\O,840,14.7,16.376085
854,856,854,COC(=O)C(C)=C,854,15.8,15.614834
856,858,856,CCCC(C)=O,856,16.0,15.728849
860,862,860,C[S](=O)(=O)c1ccccc1,860,20.0,19.836613
863,865,863,CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,863,17.0,16.81754
870,872,870,CSC=C,870,16.4,16.08129
871,873,871,C[S](=O)(=O)C=C,871,16.8,15.628556
878,880,878,ICI,878,22.0,18.299032
883,885,883,ClCNCCl,883,16.5,17.448872
891,893,891,CC(=O)N1CCCC1=O,891,17.8,18.345997
897,899,897,CCCCN,897,16.2,15.942206
906,908,906,CN(C)Cl,906,16.0,14.842684
928,930,928,[O-][N+](=O)c1ccccc1,928,20.0,20.05484
929,931,929,CC[N+]([O-])=O,929,16.0,16.402714
931,933,931,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,931,16.9,16.184364
935,937,935,CCCCCCCCCc1ccccc1O,935,16.5,17.590721
951,953,951,CCCCCCCCCCCCCCCCCC,951,16.4,16.415905
954,956,954,CCCCCCCC(O)=O,954,15.7,16.320236
955,957,955,CCCCCCCCOC(C)=O,955,15.8,16.182592
957,959,957,CCCCCCCC\C=C/CCCCCCCCO,957,16.5,16.238369
960,962,960,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,960,11.7,11.808978
962,964,962,ClC(=O)C(Cl)=O,962,16.1,16.613356
972,974,972,[O-][N+](=O)c1ccc(Cl)cc1,972,20.2,20.151789
975,977,975,OC\C=C\c1ccc(O)cc1,975,19.1,19.158335
981,983,981,Cc1ccc(cc1)[N+]([O-])=O,981,19.5,20.065382
995,997,995,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,995,12.0,12.077871
1012,1014,1012,C1CCNCC1,1012,17.3,17.295122
1015,1017,1015,O=CC#C,1015,16.2,16.137394
1016,1018,1016,CCC=O,1016,15.3,15.504373
1017,1019,1017,O=CC1CO1,1017,17.5,16.650366
1020,1022,1020,CCC(=O)OC(=O)CC,1020,15.8,15.968063
1021,1023,1021,CCC#N,1021,15.3,15.508471
1025,1027,1025,CCCOC=O,1025,15.5,15.800399
1028,1030,1028,CC1COC(=O)O1,1028,20.0,17.99467
1038,1040,1038,COCC(C)OC(C)=O,1038,15.6,15.402174
1044,1046,1044,C[C@@H]1CCC(=C(C)C)C(=O)C1,1044,17.5,16.882017
1051,1053,1051,[nH]1cccc1,1051,19.2,19.38509
1056,1058,1056,O=C1N[S](=O)(=O)c2ccccc12,1056,21.1,19.145046
1063,1065,1063,Cc1c[nH]c2ccccc12,1063,20.0,19.638983
1064,1066,1064,NCCCCNCCCN,1064,16.7,15.337107
1065,1067,1065,CCCCCCCCCCCCCCCCCC(O)=O,1065,16.3,16.027681
1071,1073,1071,Nc1ccc(cc1)[S](N)(=O)=O,1071,20.0,19.775763
1073,1075,1073,N#CSC#N,1073,18.1,16.521296
1076,1078,1076,CC(=O)OC(C)(C)C,1076,15.0,14.926923
1080,1082,1080,ClC(Cl)=C(Cl)Cl,1080,18.3,18.399645
1082,1084,1082,C1CCOC1,1082,16.8,16.304115
1084,1086,1084,C1CCc2ccccc2C1,1084,19.6,19.222036
1086,1088,1086,C1CCSCC1,1086,18.5,18.2182
1089,1091,1089,CN(C)C(=O)N(C)C,1089,16.7,16.49182
1094,1096,1094,SC#N,1094,16.8,16.066456
1095,1097,1095,OCCSCCO,1095,17.3,17.053953
1104,1106,1104,Cc1ccccc1,1104,18.0,18.422703
1109,1111,1109,CCCCOC(=O)CC(CC(=O)OCCCC)(OC(C)=O)C(=O)OCCCC,1109,16.7,16.534616
1114,1116,1114,ClC(Cl)(Cl)C#N,1114,16.4,18.491047
1123,1125,1123,CCCCCCCCCCCCCO,1123,16.2,16.260468
1124,1126,1124,OCCN(CCO)CCO,1124,17.3,16.152794
1126,1128,1126,CCN(CC)CC,1126,15.5,15.560755
1130,1132,1130,CCO[P](=O)(OCC)OCC,1130,16.7,15.465219
1153,1157,1153,CCCCOC=C,1153,15.2,15.2730055
1154,1158,1154,CCCCSC=C,1154,16.0,16.558882
1157,1161,1157,ClC=C,1157,16.0,15.411907
