,smiles,actual,predict
0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,16.6,16.84286
1,CCCCCCCOC(C)=O,15.8,16.224155
2,[Br],18.2,17.679283
3,[nH]1ccc2ccccc12,20.5,20.087008
4,CN(C)C(C)=O,16.8,15.874811
5,ClC(=O)C(Cl)=O,16.1,18.41931
6,CSC=C,16.4,16.399231
7,COC(C)COC(C)CO,15.5,16.184238
8,C=Cc1ccc(C=C)cc1,18.6,18.620026
9,C[Si](C)(C)C=C,14.5,13.965782
10,CC(Cl)=CCCl,16.9,17.095346
11,CCCC,14.1,15.187316
12,CC(C)COCC(C)O,15.1,15.621689
13,CCCCCCCCCCCCCCCCCC,16.4,15.79151
14,CCC[N+]([O-])=O,16.6,16.119526
15,O=C1C(=O)c2ccccc2c3ccccc13,20.3,20.249985
16,CC(=O)OCCCl,16.7,16.422058
17,CCCCC(CC)CO,15.9,16.304647
18,CCCCOCC(C)O,15.3,15.839637
19,OCC1CO1,18.2,16.7354
20,CC(N)Cc1ccccc1,17.5,18.070217
21,CCOCCOCCOC(C)=O,16.2,16.273825
22,COCOC,15.0,15.274893
23,CNC=O,17.4,15.583213
24,CC(=O)OC=C,16.0,15.804203
25,ClC(Cl)(Cl)c1ccccc1,19.4,19.472248
26,CCC(C)OC(C)CC,15.2,15.439541
27,ClCC=C,17.0,16.230606
28,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,20.3,19.807846
29,C1CCSCC1,18.5,18.161383
30,OCC=Cc1ccccc1,19.1,18.812292
31,CC=O,14.7,15.335144
32,[O-][N+](=O)c1ccc(Cl)cc1,20.2,20.247534
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,20.3,20.292551
34,ClCCC#N,17.3,16.667675
35,Cc1ccccc1C=C,18.6,18.333923
36,CCCC(=O)CCC,15.8,16.076876
37,OCCCl,16.9,16.364887
38,COCCOCCOC,15.7,16.096321
39,CCOc1ccc(cc1)C(C)=O,18.8,18.802912
40,Cc1ccc(cc1N=C=O)N=C=O,19.3,19.426167
41,CCCCCC(CC)(CC)OC(=O)c1ccccc1C([O-])=O,16.6,17.637218
42,CCCCOC(=O)CC(C)=O,16.6,16.58818
43,CCOC(=O)c1ccccc1C(=O)OCC,17.6,18.07463
44,CCNC=O,16.2,16.276821
45,CCC1COC(=O)O1,17.5,19.445581
46,FC(F)(Cl)C(F)(Cl)Cl,14.7,14.323934
47,CC(=C)C#N,15.8,15.622914
48,CCCBr,16.4,16.192755
49,CC(F)(F)F,14.6,13.852609
50,CC(C)O[P](F)(=O)OC(C)C,15.7,16.13232
51,OCc1ccccc1,18.4,18.401876
52,CCCCOCCOC(C)=O,15.3,16.377882
53,C[SiH3],15.5,15.165589
54,CCI,17.5,16.351578
55,ClC(Cl)(Cl)Cl,16.1,18.021835
56,CCC(C)=O,16.0,15.929379
57,N#CCCC#N,18.2,16.998875
58,C1Oc2ccccc2O1,19.0,20.243855
59,IC(=C)C=C,19.9,17.565828
60,CCCCCCCCOC(C)=O,15.8,16.016762
61,CC(=O)Nc1ccc(O)cc1,17.8,19.98289
62,CCCCCCC(C)O,16.1,15.90028
63,ClC(=O)C=C,16.2,16.290741
64,C,14.0,13.743486
65,OC(=O)CS,16.0,17.485014
66,CCCCN1CCCC1=O,17.5,18.088081
67,COC(CC(OC)OC)OC,15.0,15.895374
68,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,19.2,19.556652
69,ClCCCCCCl,18.0,18.060982
70,Oc1c(Br)cc(Br)cc1Br,20.6,20.298082
71,ClCC=O,16.2,16.840277
72,CCBr,16.5,16.65893
73,CC(C)OCC=C,15.0,14.900973
74,CC(C)C(C)O,15.6,15.651957
75,OCCN1CCCC1=O,18.0,18.724047
76,C[S](=O)(=O)C=C,16.8,16.313522
77,OCC(O)CO.OC(O)=O,17.9,17.17856
78,FC(F)=C(F)Cl,15.3,15.849705
79,BrC#N,18.3,16.560507
80,OCCN(CCO)CCO,17.3,17.34534
81,COC(C)(C)C.OCCOCCO,16.0,15.963972
82,C=C,15.0,12.644325
83,CCC=O,15.3,15.531133
