,smiles,exp,predict
0,SC#N,8.9,16.481321
1,CC1CCCC1,0.0,2.8918483
2,CCCCC(CC)CNCC(CC)CCCC,0.8,1.7045572
3,CCCCCCCCCC,0.0,-0.7781013
4,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,2.2,5.8091326
5,COC(=O)C(Cl)=C,7.3,6.865424
6,OCCC#N,18.8,17.427729
7,CC(=C)C1CCC(=CC1)C,1.8,1.1885823
8,CC(=O)c1ccccc1,9.0,7.4822893
9,C=CC#C,1.7,4.1448097
10,CCc1ccccc1,0.6,4.4171214
11,CCCCCCCCCc1ccccc1O,4.1,3.5266702
12,C[CH]=[C]=[CH2],1.7,1.8896363
13,CC1COC(=O)O1,18.0,11.142934
14,Cc1c[nH]c2ccccc12,7.1,6.762083
15,CC(=C)C(=O)OCC=C,4.1,5.0301847
16,CCOCCOCC,5.4,5.909398
17,OC(c1ccccc1)C(=O)c2ccccc2,9.7,9.826339
18,Sc1ccccc1Cl,7.0,5.8343825
19,C[P](F)(F)=O,14.0,9.218772
20,FC(Cl)=C,6.9,8.090223
21,BrC(Br)C(Br)Br,7.0,6.5851455
22,CN,7.0,7.0451784
23,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,4.7,3.3316903
24,NCCO,15.5,11.217461
25,Cc1ccon1,14.8,8.648968
26,CCOCCOC(C)=O,4.7,5.250643
27,COC(=O)C(C)=C,6.5,6.865424
28,CO[S](=O)(=O)c1ccc(C)cc1,15.3,11.259402
29,Cc1ccc(cc1)[N+]([O-])=O,11.0,15.54837
30,Cc1ccccc1C,1.0,5.1739674
31,o1ccc2ccccc12,5.1,4.4908996
32,O=C1OCC=C1,19.8,14.880509
33,Cc1c(C)c(C)c(C)c(C)c1C,1.6,1.2087836
34,CCOCCCl,7.9,6.629021
35,O=C1c2ccccc2C(=O)c3ccccc13,7.6,14.006788
36,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,4.9,5.5838623
37,CC(=C)C(Cl)=O,10.6,4.166772
38,CCOC(=O)C(C)=C,7.2,7.0074034
39,OC(=O)C(Cl)(Cl)Cl,7.0,7.069748
40,CCOC(C)OCC(C)O,6.3,7.054137
41,CCCCOC(=O)C(C)=C,5.9,5.198749
42,[O-][N+](=O)c1ccc(Br)cc1,9.9,8.517292
43,CC(O)COC(C)(C)C,6.1,6.446479
44,CCCCCCCC(O)=O,3.3,2.8480942
45,CCCCC(O)=O,4.1,4.363989
46,OC(CCl)CCl,9.9,9.97818
47,C=[N+]=[N-],6.1,10.222124
48,CCC(C)O,5.7,7.2464976
49,CCCCCCCCCO,4.8,4.3955464
50,Clc1ccc(C=O)cc1,7.2,12.570742
51,CC1=CNC(=O)NC1=O,20.5,13.891396
52,[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,8.5,8.074209
53,CC(=O)Oc1ccccc1,5.2,6.022717
54,O=CN1CCCCCC1,10.4,9.656124
55,Cc1c(Cl)cccc1[N+]([O-])=O,9.6,12.924309
56,CCCCCCCCCCCCCCCCCCCC,0.0,0.09357117
57,CCCl,6.1,0.6145889
58,CCCCCCCCC,0.0,-0.23473361
59,CCOC#C,7.9,5.553694
60,CCCCOC(=O)C(C)O,6.5,5.4867344
61,CC(=C)C(=O)OCc1ccccc1,4.1,4.945904
62,CCCCCCCCCCCCCCCC(=O)OC(C)C,3.9,1.2718494
63,ClC(Cl)c1ccccc1,7.6,2.2605696
64,O=C1CCCCCCCCC1,8.0,8.957601
65,CC(O)=O.CC(O)=O.OCC(O)CO,8.9,5.22735
66,CCCCC,0.0,5.162393
67,O=CN1CCCCC1,10.6,11.17098
68,C1OCOCO1,9.2,6.5901346
69,COc1cc(CC=C)ccc1O,7.5,5.547674
70,CC=NO,4.0,3.0004215
71,CCC#C,3.4,3.8965118
72,C/C=C/C(O)=O,8.7,3.9353101
73,c1ccnnc1,17.4,7.009521
74,FC(F)(Cl)Cl,2.0,4.0891333
75,O=C1CCCN1C2CCCCC2,6.8,7.71288
76,c1ccc2ncccc2c1,5.6,6.4200196
77,NCCc1ccc(O)c(O)c1,10.3,8.27243
78,OC=O,10.0,17.59342
79,Cc1cccc(C)c1O,4.9,6.8605113
80,COCC=C,4.3,4.7038393
81,C1CCCC1,0.0,-0.71777016
82,CCCCN(CCCC)C=O,8.9,6.0591984
83,Brc1ccc(cc1)C#N,9.3,17.618647
84,Oc1c(Cl)cccc1Cl,7.5,9.191219
85,COC=CC,4.3,5.4009485
86,CC[N+]([O-])=O,15.5,14.133281
87,C/C=C/C(=O)OC=C,5.0,8.7068815
88,CO[P](C)(=O)OC,13.1,11.0491295
89,O=C1Oc2ccccc2C=C1,12.5,11.155642
90,[SiH3]C=C,2.6,9.358797
91,Cc1ccc(O)cc1C,6.0,5.6788774
92,CCCC(C)O,6.4,5.3929386
93,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,8.1,10.464546
94,Cc1ccc(O)c(c1)C(C)(C)C,3.7,5.3067346
95,CC(=C)C(=O)OCC1CO1,8.5,7.674527
96,CCOC(=O)CCCCC(=O)OCC,6.2,5.3449044
97,CC(C)(c1ccc(O)cc1)c2c(Br)cc(OBr)c(Br)c2Br,9.1,6.8135257
98,OCC(Cl)CCl,9.2,10.666732
99,OCCNCCO,7.0,9.930391
100,CC(C)(O)CN,9.2,10.357044
101,COc1ccccc1Br,8.4,7.1829157
102,Clc1ccc(C=C)cc1,4.3,1.6921264
103,BrC(Br)Br,5.0,8.170154
104,CC(CCl)OC(C)CCl,8.2,4.5955954
105,Fc1ccccc1Cl,8.7,8.417894
106,CC(C)CC(C)=O,6.1,5.4239273
107,C=CSC=C,4.6,4.9030724
108,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,12.8,11.877607
109,CCOC(=O)C(=O)OCC,8.0,10.044918
