,smiles,exp,predict
0,N=C=O,10.5,15.065785
1,Cc1cccc(C)c1C,1.0,3.5304146
2,Fc1c(Cl)cccc1Cl,9.1,4.2338815
3,COC(=O)CCC(C)C(=O)OC,8.7,4.4665318
4,ClC(Cl)(Cl)C=C,15.5,4.957661
5,NCC=C,5.7,9.755707
6,CC(C)COC(=O)C(C)C,2.8,3.050195
7,Clc1ccc(c2ccccc2)c(Cl)c1Cl,5.3,-0.467238
8,CC(C)O[P](C)(=O)OC(C)C,10.0,9.440963
9,CC(C)Cl,8.0,5.320107
10,CC=C(Cl)Cl,6.7,2.7617311
11,NCCc1c[nH]c2ccc(O)cc12,8.2,10.415226
12,BrCC(Br)=C,11.8,5.8226714
13,CCC(N)=O,14.6,13.948084
14,CCO[Si](OCC)(OCC)OCC,4.3,5.4504156
15,CO[N+]([O-])=O,14.0,17.876297
16,CCl,9.9,8.431789
17,ClC1=CC(=O)OC1=O,17.3,16.204956
18,CCOCc1ccccc1,3.8,4.4960327
19,C[S](=O)(=O)c1ccccc1,16.9,15.651554
20,CCCCOC(=O)c1ccccc1C(=O)OCCCC,8.6,7.026362
21,BrC(=C)C=C,6.4,5.747616
22,CC(O)CCl,9.8,8.306722
23,CCC(C)Br,7.7,5.938472
24,CC(=O)c1ccc(Cl)cc1,7.6,7.3946495
25,CCCCCCCCCCCCCC,0.0,-0.83761835
26,CCCCCl,5.5,5.9504495
27,CCCCCCOCCOCCO,6.0,5.4949074
28,FC(F)=C(F)F,0.0,2.4560556
29,COC,6.1,7.0147095
30,CCCCCCCCCCCCO,4.0,3.6251075
31,CCCCC(=O)CC,5.0,5.2202673
32,CC(C)NC(C)C,1.7,3.8083596
33,CCOC(=O)CCCC(=O)OCC,7.0,5.3934817
34,CC(O)=O.CC(O)=O.OCCO,4.7,6.8746605
35,CC(=C)CCl,5.6,8.242263
36,CNCC(O)c1ccc(O)c(O)c1,8.7,7.493371
37,ClC(Cl)=C(Cl)Cl,5.7,14.721014
38,[Ca++].NC#N,27.6,14.148967
39,CC(O)CO,10.4,7.944082
40,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,3.8855448
