,smiles,exp,predict
0,NC(=O)c1cccnc1 ,0.61,-0.22986731
1,Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O ,-3.083,-4.1279025
2,Cc1ccnc(C)c1,0.38,-0.6353905
3,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99,-2.338513
4,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,-6.18,-6.6439743
5,C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,-4.799,-5.1118493
6,c1(O)c(C)ccc(C(C)C)c1,-2.08,-2.628024
7,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,-6.317056
8,OC1CCCCCCC1,-1.29,-1.5363574
9,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484,-1.806578
10,CCCCOC=O,-1.37,-0.97097266
11,ClCCCl,-1.06,-2.559673
12,c1ccc(cc1)c2ccccc2,-4.345,-5.714418
13,CCCC(C)(O)CC,-0.98,-1.0183223
14,COc1ccc(cc1)N(=O)=O,-2.41,-2.7401161
15,COC(=O)Nc2nc1ccc(cc1[nH]2)C(=O)c3ccccc3,-3.88,-4.6918397
16,C=CCCC=C,-2.68,-2.731979
17,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38,-4.8416886
18,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68,-8.114888
19,Cc1ccc(C)cc1,-2.77,-3.6484442
20,CCCCC(CC)CO,-2.11,-3.0233848
21,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,-3.6538978
22,O=c1[nH]cnc2[nH]ncc12 ,-2.266,-3.2937353
23,CCC(C)(C)CC,-4.23,-4.1372323
24,CCC(C)C(=O)C,-0.67,-1.2965553
25,CN(C)C(=O)N(C)C ,0.94,-0.29300696
26,O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,-3.4106174
27,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,-2.575094
28,CCCCC(=O)CCCC,-2.58,-2.2671885
29,CC(C)(C)CCO,-0.5,-0.987454
30,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,-2.590228
31,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,-8.23823
32,CCCCCCCCCCCCCC,-7.96,-7.536017
33,CC(C)c1ccc(C)cc1,-3.77,-4.9334846
34,CCCCCCCC#C,-4.24,-5.31257
35,CNC(=O)ON=C(CSC)C(C)(C)C ,-1.62,-2.1255722
36,Clc1ccc2ccccc2c1,-4.14,-4.7745275
37,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,-3.4567418
38,O=C1NC(=O)C(=O)N1 ,-0.4,-1.5664679
39,N(Nc1ccccc1)c2ccccc2 ,-2.92,-3.986804
40,O=C1NC(=O)C(=O)C(=O)N1 ,-1.25,-1.5026559
41,CCCCOCCCC,-1.85,-3.435152
42,C/C1CCC(\C)CC1,-4.47,-4.4372745
43,Oc1ccc(Br)cc1,-1.09,-1.5727113
44,Nc1ccc(cc1)N(=O)=O,-2.37,-2.2240245
45,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,-4.443029
46,CC2=CC(=O)c1ccccc1C2=O ,-3.03,-2.8091218
47,CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.411,-5.0351276
48,Nc1cccc2ccccc12,-1.92,-3.2878346
49,CCCCCl,-2.03,-3.308326
50,N(c1ccccc1)c2ccccc2,-3.504,-4.092132
51,CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,-4.6907163
52,Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461,-3.2829802
53,CC(C)CCOC=O,-1.52,-1.5060102
54,CCCC(O)C=C,-0.59,-0.5881854
55,CCCCC=C,-3.23,-3.937233
56,CCCCCCO,-1.24,-1.6675802
57,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67,-5.6451554
58,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2,-2.982,-3.1673064
59,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736,-6.2877173
60,CC(=O)Nc1ccc(Cl)cc1,-2.843,-2.6653466
61,COc1ccc(C=O)cc1,-1.49,-2.3132577
62,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57,-3.551674
63,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332,-8.044243
64,CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,-3.7385793
65,CC(C)c1ccc(C)cc1O,-2.22,-2.7495797
66,CCOP(=S)(OCC)SCSCC,-4.11,-4.3733706
67,C1CCc2ccccc2C1,-4.37,-4.1634126
68,CCOc1ccc(NC(=O)C)cc1,-2.35,-3.073464
69,c1ccsc1,-1.33,-1.4065548
70,Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,-6.9814234
71,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.27,-7.3829517
72,BrC(Br)Br,-1.91,-2.8547678
73,Brc1ccc(I)cc1,-4.56,-4.647405
74,CCCCC(=O)C,-0.8,-1.427884
75,C=C,-0.4,-0.62700367
76,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,-3.1168184
77,Cc1cc(C)cc(C)c1,-3.4,-4.6967816
78,CCCCC(=O)OCC,-2.25,-1.8507537
79,Cc2ncc1nccnc1n2,-0.12,-1.3810066
80,CCCCCC(C)(C)O,-1.72,-1.821764
81,CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,-4.6479206
82,CC1CO1,-0.59,-0.17344196
83,CCCCOC,-0.99,-1.5236654
84,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.893,-4.0578303
85,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-4.955,-4.357617
