,smiles,exp,predict
0,SC#N,16.8,17.0712
1,CC1CCCC1,16.0,16.9348
2,CCCCC(CC)CNCC(CC)CCCC,15.6,15.384002
3,CCCCCCCCCC,15.7,16.003096
4,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,17.8,17.989271
5,COC(=O)C(Cl)=C,15.9,16.15211
6,OCCC#N,17.2,16.851282
7,CC(=C)C1CCC(=CC1)C,17.2,16.86605
8,CC(=O)c1ccccc1,18.8,19.471148
9,C=CC#C,16.0,15.279359
10,CCc1ccccc1,17.8,17.926737
11,CCCCCCCCCc1ccccc1O,16.5,16.563194
12,C[CH]=[C]=[CH2],15.0,15.381696
13,CC1COC(=O)O1,20.0,17.15747
14,Cc1c[nH]c2ccccc12,20.0,20.092485
15,CC(=C)C(=O)OCC=C,15.2,15.613417
16,CCOCCOCC,15.4,15.89316
17,OC(c1ccccc1)C(=O)c2ccccc2,19.9,19.524902
18,Sc1ccccc1Cl,20.2,20.082052
19,C[P](F)(F)=O,14.0,15.54012
20,FC(Cl)=C,16.0,14.316839
21,BrC(Br)C(Br)Br,21.0,19.270859
22,CN,14.4,14.490048
23,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,16.8,16.183338
24,NCCO,17.0,17.036268
25,Cc1ccon1,19.4,18.591387
26,CCOCCOC(C)=O,15.9,16.063875
27,COC(=O)C(C)=C,15.8,16.15211
28,CO[S](=O)(=O)c1ccc(C)cc1,19.6,20.135302
29,Cc1ccc(cc1)[N+]([O-])=O,19.5,19.917933
30,Cc1ccccc1C,17.8,18.829622
31,o1ccc2ccccc12,18.7,19.789698
32,O=C1OCC=C1,19.0,19.306412
33,Cc1c(C)c(C)c(C)c(C)c1C,19.2,20.154314
34,CCOCCCl,16.3,15.991602
35,O=C1c2ccccc2C(=O)c3ccccc13,20.3,20.042124
36,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,16.5,16.617046
37,CC(=C)C(Cl)=O,17.1,16.242327
38,CCOC(=O)C(C)=C,15.8,16.011349
39,OC(=O)C(Cl)(Cl)Cl,18.3,19.365522
40,CCOC(C)OCC(C)O,15.4,15.449912
41,CCCCOC(=O)C(C)=C,15.4,15.913313
42,[O-][N+](=O)c1ccc(Br)cc1,20.9,20.168169
43,CC(O)COC(C)(C)C,15.3,15.985455
44,CCCCCCCC(O)=O,15.7,16.147251
45,CCCCC(O)=O,15.0,16.312778
46,OC(CCl)CCl,17.5,16.675144
47,C=[N+]=[N-],14.7,15.52198
48,CCC(C)O,15.8,15.880449
49,CCCCCCCCCO,16.0,16.0274
50,Clc1ccc(C=O)cc1,19.9,19.34596
51,CC1=CNC(=O)NC1=O,19.0,19.091974
52,[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,15.5,15.835116
53,CC(=O)Oc1ccccc1,19.8,17.92143
54,O=CN1CCCCCC1,18.5,18.33695
55,Cc1c(Cl)cccc1[N+]([O-])=O,20.3,20.159334
56,CCCCCCCCCCCCCCCCCCCC,16.5,15.941101
57,CCCl,15.7,14.9341345
58,CCCCCCCCC,15.7,16.033278
59,CCOC#C,15.4,15.551675
60,CCCCOC(=O)C(C)O,15.8,15.9521885
61,CC(=C)C(=O)OCc1ccccc1,16.8,17.359404
62,CCCCCCCCCCCCCCCC(=O)OC(C)C,16.2,15.84834
63,ClC(Cl)c1ccccc1,19.0,18.24711
64,O=C1CCCCCCCCC1,16.8,17.748693
65,CC(O)=O.CC(O)=O.OCC(O)CO,16.4,16.72403
66,CCCCC,14.5,15.742227
67,O=CN1CCCCC1,18.7,18.382627
68,C1OCOCO1,18.7,17.523432
69,COc1cc(CC=C)ccc1O,19.0,17.941113
70,CC=NO,16.3,15.812011
71,CCC#C,15.1,15.434865
72,C/C=C/C(O)=O,16.8,16.679743
73,c1ccnnc1,20.2,20.181202
74,FC(F)(Cl)Cl,14.9,14.174655
75,O=C1CCCN1C2CCCCC2,18.2,18.820704
76,c1ccc2ncccc2c1,20.5,19.79787
77,NCCc1ccc(O)c(O)c1,18.2,18.929333
78,OC=O,14.6,15.760154
