,smiles,exp,predict
0,N=C=O,13.6,5.2659683
1,Cc1cccc(C)c1C,1.0,1.0825632
2,Fc1c(Cl)cccc1Cl,2.7,1.1655657
3,COC(=O)CCC(C)C(=O)OC,5.0,7.716895
4,ClC(Cl)(Cl)C=C,3.4,1.5886631
5,NCC=C,10.6,10.529694
6,CC(C)COC(=O)C(C)C,5.8,6.068373
7,Clc1ccc(c2ccccc2)c(Cl)c1Cl,4.1,0.648468
8,CC(C)O[P](C)(=O)OC(C)C,5.7,5.9678802
9,CC(C)Cl,2.0,2.8169224
10,CC=C(Cl)Cl,2.9,1.1936376
11,NCCc1c[nH]c2ccc(O)cc12,14.4,13.13609
12,BrCC(Br)=C,6.4,5.747298
13,CCC(N)=O,11.5,15.052947
14,CCO[Si](OCC)(OCC)OCC,0.6,6.17591
15,CO[N+]([O-])=O,4.8,6.6931744
16,CCl,3.9,0.27991048
17,ClC1=CC(=O)OC1=O,11.5,9.397551
18,CCOCc1ccccc1,3.8,4.1459637
19,C[S](=O)(=O)c1ccccc1,7.8,3.44091
20,CCCCOC(=O)c1ccccc1C(=O)OCCCC,4.1,3.345342
21,BrC(=C)C=C,4.7,4.84802
22,CC(O)CCl,15.3,15.784857
23,CCC(C)Br,4.4,3.520199
24,CC(=O)c1ccc(Cl)cc1,4.0,3.8708277
25,CCCCCCCCCCCCCC,0.0,-1.1348524
26,CCCCCl,2.0,0.31078625
27,CCCCCCOCCOCCO,10.0,9.817579
28,FC(F)=C(F)F,0.0,-1.0400867
29,COC,5.7,7.166378
30,CCCCCCCCCCCCO,9.3,10.6548195
31,CCCCC(=O)CC,4.1,4.097576
32,CC(C)NC(C)C,3.5,6.0938234
33,CCOC(=O)CCCC(=O)OCC,7.8,7.403936
34,CC(O)=O.CC(O)=O.OCCO,9.8,12.036354
35,CC(=C)CCl,2.0,2.2993982
36,CNCC(O)c1ccc(O)c(O)c1,19.9,20.71766
37,ClC(Cl)=C(Cl)Cl,0.0,0.22094029
38,[Ca++].NC#N,16.8,9.691141
39,CC(O)CO,21.3,20.815645
40,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0,0.084858
41,C/C=C/C=O,7.4,6.326481
42,C=CC=O,8.6,8.840962
43,CC(C)CC=O,5.0,6.475072
44,C=CCN=C=S,8.5,10.077608
45,IC[CH]=[C]=[CH2],6.2,6.553783
46,O=C\C=C\c1ccccc1,6.2,4.060214
47,COC(Cl)=O,8.5,9.339412
48,O=[P](Oc1ccccc1)(Oc2ccccc2)Oc3ccccc3,6.8,4.2249966
49,CCCOC=O,8.6,7.5452085
50,ClC1CCCCC1,2.0,-0.28704214
51,[O-][O+]=O,0.0,6.8091946
52,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.0,-1.5336692
