,smiles,exp,predict
0,CC(C)CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C,16.6,16.400354
1,CCCCCCCOC(C)=O,15.8,15.602941
2,[Br],18.2,16.072683
3,[nH]1ccc2ccccc12,20.5,19.93412
4,CN(C)C(C)=O,16.8,17.042414
5,ClC(=O)C(Cl)=O,16.1,17.237017
6,CSC=C,16.4,15.818568
7,COC(C)COC(C)CO,15.5,15.428116
8,C=Cc1ccc(C=C)cc1,18.6,18.649675
9,C[Si](C)(C)C=C,14.5,14.823933
10,CC(Cl)=CCCl,16.9,17.257559
11,CCCC,14.1,16.119787
12,CC(C)COCC(C)O,15.1,15.420232
13,CCCCCCCCCCCCCCCCCC,16.4,16.019455
14,CCC[N+]([O-])=O,16.6,15.813785
15,O=C1C(=O)c2ccccc2c3ccccc13,20.3,19.932915
16,CC(=O)OCCCl,16.7,16.053099
17,CCCCC(CC)CO,15.9,15.751947
18,CCCCOCC(C)O,15.3,15.444392
19,OCC1CO1,18.2,16.580574
20,CC(N)Cc1ccccc1,17.5,18.134867
21,CCOCCOCCOC(C)=O,16.2,15.802465
22,COCOC,15.0,15.237905
23,CNC=O,17.4,16.06295
24,CC(=O)OC=C,16.0,15.167522
25,ClC(Cl)(Cl)c1ccccc1,19.4,18.833693
26,CCC(C)OC(C)CC,15.2,15.881891
27,ClCC=C,17.0,15.044714
28,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,20.3,19.96916
29,C1CCSCC1,18.5,17.969809
30,OCC=Cc1ccccc1,19.1,18.390518
31,CC=O,14.7,15.607948
32,[O-][N+](=O)c1ccc(Cl)cc1,20.2,20.014221
33,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,20.3,19.444473
34,ClCCC#N,17.3,16.177626
35,Cc1ccccc1C=C,18.6,18.496744
36,CCCC(=O)CCC,15.8,16.22765
37,OCCCl,16.9,16.490122
38,COCCOCCOC,15.7,15.794567
39,CCOc1ccc(cc1)C(C)=O,18.8,19.092388
