,number,actual,predict,SMILES
0,1122,-1.96,-2.5667359828948975,ClC=C(Cl)Cl
1,830,-3.35,-3.162262201309204,CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2
2,92,-2.29,-0.668501615524292,CCCI
3,430,-1.0,-1.8956953287124634,N#Cc1ccccc1
4,948,-2.9,-3.453070640563965,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 
5,152,-6.26,-5.679020881652832,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
6,1139,1.144,-1.54645836353302,CNC(=O)C(C)SCCSP(=O)(OC)(OC)
7,912,-6.9,-6.230926036834717,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
8,182,-5.25,-4.812802314758301,Clc1ccc(cc1)c2ccccc2Cl 
9,177,-4.26,-2.4376673698425293,CC(C)CC(C)C
10,35,-1.87,-0.28748929500579834,C=CC=C
11,309,-2.78,-2.9663400650024414,COc1ccc(Cl)cc1
12,383,-2.36,-1.8746918439865112,CNC(=O)Oc1ccc(N(C)C)c(C)c1
13,263,-4.23,-3.1121835708618164,CCC(C)(C)CC
14,930,-4.0,-2.920599937438965,Cc1cc(C)c(C)c(C)c1C
15,344,-1.458,-1.1795886754989624,Nc1c(C)c[nH]c(=O)n1 
16,1069,-2.016,-1.6773358583450317,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
17,824,-1.36,-0.7806463241577148,CCCC(=O)OCC
18,654,-3.0,-2.4332826137542725,CCOC(=O)C=Cc1ccccc1
19,345,-2.58,-3.090373992919922,CCCCC(=O)CCCC
20,332,-7.01,-5.883519649505615,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
21,1104,-2.22,-2.4755547046661377,CC(C)c1ccc(C)cc1O
22,302,-0.24,-0.7994511723518372,CCC(O)CC
23,705,-0.1,-0.4886443018913269,O=Cc1ccco1
24,523,-5.839,-3.866576671600342,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O
25,812,-1.85,-1.6558176279067993,COC(=O)c1ccccc1
26,657,-2.74,-2.9608511924743652,CCCCCCC(=O)OCC
27,37,-3.04,-3.5720396041870117,Clc1cccc(Cl)c1
28,810,0.46,0.34819281101226807,COC(=O)C
29,564,-4.9,-4.076416015625,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O 
30,745,-1.0,-2.369396209716797,CI
31,767,-2.93,-2.9502315521240234,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
32,179,0.38,-1.2004454135894775,Cc1ccnc(C)c1
33,265,-1.25,-2.095292091369629,Oc1ccc(Cl)c(Cl)c1
34,637,-4.955,-4.178891658782959,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O 
35,124,-7.68,-7.023905277252197,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl
36,294,-0.51,-0.4324253797531128,CC(C)CCO
37,475,-3.224,-3.1075358390808105,CNC(=O)Oc1cccc2ccccc12
38,215,-3.21,-2.206240653991699,CCc1ccccc1C
39,627,-8.172,-6.747247219085693,CCCCCCCCCCCCCCCCCCCC
40,910,-2.7,-3.222079277038574,Nc1ccc(cc1)c2ccc(N)cc2
41,982,-4.8,-5.319747447967529,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3
42,210,-2.11,-1.9339157342910767,CCCCC(CC)CO
43,841,-2.67,-3.481771230697632,Fc1cccc(Br)c1
44,915,-4.66,-3.9633145332336426,CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O
45,942,-5.26,-4.781650066375732,c1ccc2c(c1)ccc3ccccc32
46,1060,-4.743,-4.141459941864014,CC34CCC1C(CCC2CC(=O)CCC12C)C3CCC4O 
47,70,-2.0,-1.2921801805496216,ClCC(C)C
48,1013,1.1,0.497839093208313,c1ccnnc1
49,735,-2.296,-1.4090359210968018,O=c1[nH]cnc2nc[nH]c12 
50,160,-1.3,-2.6452062129974365,Oc1cccc(Cl)c1Cl
51,435,-2.39,-2.536783218383789,ClCc1ccccc1
52,900,-2.33,-2.3230879306793213,Cc1ccccc1N(=O)=O
53,578,-4.31,-3.870537757873535,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
54,431,-3.12,-3.1396546363830566,O=C(c1ccccc1)c2ccccc2
55,920,-1.66,-2.2230145931243896,Nc1ccc(Cl)cc1
56,876,-3.38,-3.031552314758301,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 
57,595,-2.34,-0.39603549242019653,ICI
58,411,-4.71,-3.369662284851074,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
59,1,-2.0,-2.1111764907836914,CC(Cl)(Cl)Cl
60,1052,-2.356,-1.925167441368103,O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C
61,20,-3.5,-3.7008442878723145,Brc1ccccc1Br
62,544,-2.1,-1.8948651552200317,C1CC=CC1
63,785,-3.55,-4.297489166259766,Clc1cccc(I)c1
64,842,-1.989,-2.7463741302490234,Nc1cc(nc(N)n1=O)N2CCCCC2 
65,402,-2.084,-2.422924757003784,CCNc1nc(NC(C)C)nc(OC)n1
66,1087,-0.03,-0.020858928561210632,C1CCOCC1
67,786,-2.77,-2.7146921157836914,Clc1cccc(c1)N(=O)=O
68,852,-2.82,-2.151797294616699,Cc1cccc(C)c1
69,425,-8.0,-6.807060718536377,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45
70,374,-6.307,-6.938000679016113,ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl
71,75,-2.73,-2.9412660598754883,CCCCCCl
72,962,-0.96,-0.9940212368965149,Oc1ccc(C=O)cc1
73,508,-3.451,-3.3845624923706055,NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23
74,40,-2.0,-3.261242389678955,Fc1cccc(F)c1
75,404,-1.716,-3.5168139934539795,CCN(CC)C(=O)CSc1ccc(Cl)nn1
76,947,0.0,0.019759491086006165,c1ccccc1O
77,925,-3.53,-3.877779006958008,CCCCN(CC)C(=O)SCCC
78,1043,-3.043,-3.8195674419403076,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
79,623,-4.26,-2.7522940635681152,CC1=CCC(CC1)C(C)=C
80,960,-2.38,-2.693891763687134,N#Cc1ccccc1C#N
81,777,-3.604,-4.143638610839844,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O
82,604,-1.66,-1.6084320545196533,COC(=O)c1ccccc1C(=O)OC
83,121,-7.28,-6.162534236907959,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
84,896,-1.96,-0.5562521815299988,COc1ccccc1O
85,389,-0.624,-2.362257480621338,Cc2c(N)c(=O)n(c1ccccc1)n2C
86,281,-0.8,-1.2451918125152588,CCCC(O)CC
87,1073,-2.484,-3.127751350402832,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C
88,585,-0.09,-0.12267090380191803,CCOCC
89,553,-3.094,-3.393310546875,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
90,617,-4.08,-3.2037134170532227,C(c1ccccc1)c2ccccc2
91,712,-3.246,-4.075313091278076,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O
92,491,-2.86,-4.2880377769470215,CN(C)C=Nc1ccc(Cl)cc1C
93,299,-0.68,-0.5622162222862244,Cc1cccc(O)c1
94,308,-3.19,-2.9547019004821777,Cc1ccc(Br)cc1
95,916,-2.7,-3.222079277038574,Nc1ccc(cc1)c2ccc(N)cc2
96,765,-3.536,-3.1861302852630615,CC(C)c1ccc(NC(=O)N(C)C)cc1
97,476,-5.27,-4.247080326080322,c1ccc2c(c1)[nH]c3ccccc32
98,713,-1.96,-0.5562521815299988,COc1ccccc1O 
99,686,-6.876,-5.764877796173096,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
100,908,-2.8,-1.7673641443252563,Cc1ccccc1C
101,334,-1.708,-1.7549279928207397,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
102,36,-3.54,-3.5320706367492676,Brc1cccc(Br)c1
103,275,-0.7,-0.9414916634559631,Oc1cccc(Cl)c1
104,479,-5.736,-4.707149028778076,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
105,1067,-3.39,-5.346269607543945,CCN(CC)C(=S)SCC(Cl)=C
106,285,-2.73,-1.5555518865585327,CC(C)C=C
107,987,-1.94,-0.5583677291870117,CCC
108,382,-0.77,-1.1742210388183594,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
109,460,0.47,-0.03583526611328125,CCC(C)O
110,1103,-1.506,-1.2654324769973755,Cc1c[nH]c(=O)[nH]c1=O 
111,167,-6.25,-5.518820762634277,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
112,1044,-3.324,-3.481701374053955,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
113,375,-1.6,-0.22963328659534454,NC(=O)NC1NC(=O)NC1=O 
114,628,-6.18,-6.779001712799072,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl
115,114,0.62,0.5524868965148926,CCCO
116,548,-7.337,-7.032890319824219,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
117,207,-3.3,-3.8838086128234863,CCCCCCCCC(=O)C
118,18,-3.31,-2.6205551624298096,Cc1ccc(C)c(C)c1
119,967,-1.95,-1.9593204259872437,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C
120,1007,-1.74,-1.8842228651046753,Cc1ccc(cc1)S(=O)(=O)N
121,1120,-2.68,-2.5898351669311523,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl 
122,759,-1.06,-3.4856839179992676,CC1=CC(=O)CC(C)(C)C1 
123,66,0.0,-0.09627889096736908,CCCCO
124,809,-6.89,-5.509206295013428,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
125,569,-4.286,-3.144554615020752,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
126,173,-1.55,-2.481353998184204,Oc1ccc(Cl)cc1Cl
127,733,-5.46,-5.91339635848999,OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl 
128,225,-2.56,-0.9067593216896057,CC=C(C)C
129,127,-7.42,-6.704300403594971,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl 
130,303,-0.28,-0.8430495858192444,CCC(=O)CC
131,771,-0.244,-0.24967528879642487,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
132,888,-1.52,-2.235774040222168,Nc1ccccc1Cl
133,436,-2.51,-2.8426849842071533,FC(F)(F)c1ccccc1
134,506,-5.67,-5.1098222732543945,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl 
135,314,-1.3,-1.6496719121932983,CCCC(=O)CCC
136,817,-1.24,-0.4366435408592224,COC(=O)c1cc(O)c(O)c(O)c1 
137,1078,-5.184,-4.525267124176025,CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
138,97,-0.807,-1.4635063409805298,Cn1ccc(=O)[nH]c1=O
139,758,-1.52,-1.1290689706802368,CC(C)CCOC=O
140,416,-0.96,-0.6665979027748108,NC(=O)c1ccccc1
141,311,-3.08,-3.009873867034912,Cc1ccc(Cl)cc1
142,212,-1.52,-1.2079380750656128,CCC(CC)C=O
143,862,-1.7,-2.5987563133239746,CCNc1ccccc1
144,165,0.38,-0.8436365723609924,Cc1cccnc1C
145,396,-1.85,-1.3118927478790283,COc1ccccc1
146,961,-1.03,-0.9734895825386047,CC(=O)Nc1ccc(O)cc1
147,1105,-2.21,-1.1166722774505615,Cc1ccccc1
148,751,-4.12,-2.834352493286133,CC(C)Cc1ccccc1
149,1099,-2.12,-2.007190227508545,Sc1ccccc1
150,1112,-3.68,-3.6496410369873047,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
151,635,-5.03,-4.70995569229126,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
152,881,-3.931,-4.186164855957031,OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 
153,808,-3.664,-4.6968255043029785,COc2c1occc1cc3ccc(=O)oc23 
154,682,-2.3,-4.45884370803833,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O 
155,492,-4.576,-2.582374095916748,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
156,601,-0.85,-3.4296364784240723,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 
157,323,-0.466,-0.9082602858543396,Cc1ncnc2nccnc12
158,255,-0.19,-0.2927532196044922,CCCC(=O)C
159,77,-3.63,-4.472983360290527,CCCCCCCCCCO
160,1058,-4.173,-4.052831172943115,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45
161,113,-0.92,-1.740989327430725,CC(O)c1ccccc1
162,992,0.58,-0.19145099818706512,CCC=O
163,59,-2.37,-2.457569122314453,CCCCBr
164,1126,-6.01,-4.721808910369873,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1
165,1133,-6.726,-5.491842746734619,c1ccc2c(c1)c3ccccc3c4ccccc24
166,753,-2.461,-3.2060723304748535,Cc1cc(no1)C(=O)NNCc2ccccc2
167,798,-3.18,-2.4733691215515137,Sc2nc1ccccc1s2 
168,82,-3.73,-3.797027111053467,CCCCCC=C
169,193,-1.59,-2.686180353164673,CC(C)Br
170,1141,-3.893,-3.2768993377685547,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
171,666,-4.25,-3.180083751678467,CCC1CCCCC1
172,789,-1.899,-3.0431082248687744,c1c(OC)c(OC)C2C(=O)OCC2c1
173,392,-4.402,-4.125357151031494,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
174,408,-2.4,-2.149543523788452,O=C1NC(=O)NC(=O)C1(CC)CC
175,336,-2.369,-2.4578657150268555,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
176,933,-1.89,-2.047091484069824,CCCCCOC(=O)C
177,397,-6.35,-4.839104652404785,c1ccc2cc3ccccc3cc2c1
178,1054,-4.55,-3.179570436477661,CCNc1nc(Cl)nc(NCC)n1 
179,109,-6.35,-5.766225337982178,CCCCCCCCCCCCCCCO
180,703,0.64,0.4916963577270508,OCC1OC(O)(CO)C(O)C1O
181,903,-2.21,-1.48310387134552,Cc1ccccc1N
182,525,-2.84,-4.333431720733643,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 
183,643,-4.3,-3.733914852142334,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C 
184,315,-2.59,-2.637941360473633,c1(O)cc(O)ccc1CCCCCC
185,221,1.02,-0.001966521143913269,Oc1ccccn1
186,1101,0.32,0.41965484619140625,NC(=S)N
187,646,-3.028,-3.327357053756714,CCCCc1c(C)nc(NCC)[nH]c1=O
188,268,-6.39,-4.89180326461792,Clc1ccc(cc1Cl)c2ccccc2 
189,335,-1.16,-1.6029270887374878,O=C1NC(=O)NC(=O)C1(C)CC=C
190,520,-3.24,-3.96728515625,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
191,391,-3.69,-4.545849800109863,CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O
192,54,-2.68,-3.222102165222168,c1cnc2c(c1)ccc3ncccc23
193,611,-5.115,-5.365671157836914,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 
194,530,-3.51,-1.675897479057312,C1CCCCCC1
195,607,-5.47,-4.119570732116699,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
196,978,-4.37,-3.9268946647644043,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C 
197,964,-3.46,-2.488645553588867,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
198,378,-1.25,-1.5526018142700195,O=C1NC(=O)C(=O)C(=O)N1 
199,328,-2.077,-1.5440795421600342,O=C1NC(=O)NC(=O)C1(CC=C)CC=C
