0,1,2,3,4,5,6
0,0,0,ClCC(Cl)(Cl)Cl,0,18.0,18.004124
5,5,5,CC(Cl)(Cl)C(Cl)Cl,5,17.9,18.301323
7,7,7,CC(Cl)=C(Cl)Cl,7,17.7,17.508745
9,9,9,FC(F)(Cl)C(F)(Cl)Cl,9,14.7,16.882387
29,29,29,[nH]1ccnn1,29,20.7,19.998522
33,33,33,Clc1ccc(Cl)c(Cl)c1,33,20.2,19.83812
62,62,62,OC(CCl)CCl,62,17.5,16.937803
65,65,65,CC=CC=C,65,15.0,15.666208
69,69,69,OCCCCO,69,16.6,16.49619
71,71,71,ClCCCCCl,71,18.3,17.452864
77,77,77,CC12CCC(CC1)C(C)(C)O2,77,16.7,16.823313
79,79,79,CC(=O)OC=CC=C,79,16.1,15.975874
80,80,80,NC1(CC1)C(O)=O,80,17.0,16.632587
82,82,82,CCOc1ccc(Br)cc1,82,19.5,18.73332
84,84,84,CCCBr,84,16.4,16.688063
90,90,90,CCOC(Cl)=C,90,16.8,15.390422
94,94,94,CC=CCCl,94,16.2,16.165512
97,97,97,CC(C)=CCl,97,16.1,16.978197
104,104,104,CCCCCCCCC=C,104,15.6,15.726521
118,118,118,CCC[N+]([O-])=O,118,16.6,16.023275
125,125,125,CCCS,125,16.1,16.45099
131,131,131,CC(C)CC(C)(C)C,131,14.1,14.922454
133,133,133,CC(C)(C)CO,133,15.6,15.651321
137,137,137,CC1OC(=O)OC1C,137,18.0,17.562244
144,144,144,Oc1c(Br)cc(Br)cc1Br,144,20.6,20.451876
145,145,145,COc1c(Cl)cc(Cl)cc1Cl,145,21.0,19.89124
148,148,148,[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,148,19.9,19.818895
165,165,165,Fc1cccc(F)c1C#N,165,18.8,19.392633
172,172,172,CC(Br)=C,172,16.1,16.358397
177,177,177,CC=CC,177,14.7,14.599109
181,181,181,OCC(Cl)=C,181,17.1,16.659605
183,183,183,CC(C)(C)Cl,183,15.6,15.417248
196,196,196,OC(=O)C(Cl)=C,196,19.1,15.918331
204,204,204,CCC(=C)C=C,204,15.3,15.816596
212,212,212,COC1OCCO1,212,17.8,17.426256
221,221,221,CC(=C)C(Cl)=O,221,17.1,15.363701
223,223,223,CCC(C)(C)O,223,15.3,15.562624
228,228,228,[O-][N+](=O)c1sccc1,228,19.7,19.818033
235,235,235,CC(C)S,235,16.3,15.777995
238,238,238,O=C1CCCN1,238,18.2,18.627607
248,248,248,Cc1ccc(O)cc1C,248,19.2,19.059645
249,249,249,Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,249,19.5,19.8189
250,250,250,C=CC1CO1,250,16.6,16.687445
251,251,251,Fc1cc(F)cc(c1)C#N,251,18.8,19.41809
254,254,254,BrCC#C,254,18.1,16.44426
258,258,258,OCCCCl,258,17.5,16.845615
259,259,259,CC(=C)CCl,259,16.2,15.995291
261,261,261,ClCCC=O,261,17.0,17.322489
266,266,266,OC1CCOC1,266,18.9,17.6123
281,281,281,O=C=Nc1ccc(Cc2ccc(cc2)N=C=O)cc1,281,19.5,18.959473
285,285,285,BrCCC=C,285,16.5,16.49697
302,302,302,IC[CH]=[C]=[CH2],302,17.4,17.294249
305,305,305,CC1CCC(O)CC1,305,17.2,16.595076
307,307,307,C=CCCC=O,307,15.5,15.676641
310,310,310,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,310,19.5,19.63889
312,312,312,OC(=O)c1[nH]c2cc(O)c(O)cc2c1,312,19.5,19.63889
314,314,314,Cc1c(Cl)cccc1[N+]([O-])=O,314,20.3,20.07855
329,329,329,CC(C)=NO,329,16.3,16.205492
334,334,334,CC(Cl)=O,334,16.2,16.579935
339,339,339,NC(=O)C=C,339,15.8,16.681873
346,346,346,CNCC(O)c1ccc(O)c(O)c1,346,20.5,17.899576
347,347,347,CC(=O)OCC=C,347,15.7,15.41821
350,350,350,OCC=C,350,16.2,15.588547
357,357,357,C=CCOC=O,357,15.7,15.500657
360,360,360,CC(C)OCC=C,360,15.0,15.04457
365,365,365,C=CCCC#N,365,16.3,15.522587
373,373,373,COc1ccc(N)cc1,373,19.5,19.899504
386,386,386,O=C(c1ccccc1)c2ccccc2,386,19.5,19.922768
388,388,388,ClC(Cl)(Cl)c1ccccc1,388,19.4,19.729923
389,389,389,ClC(=O)c1ccccc1,389,19.3,19.50956
404,404,404,NC(=O)NC(N)=O,404,20.0,16.989393
408,408,408,Brc1ccccc1,408,19.2,19.660639
430,430,430,CCCC(O)=O,430,15.7,15.317141
436,436,436,O=C1CCCCCO1,436,18.0,18.829361
440,440,440,S=C=S,440,19.9,20.198168
442,442,442,ClC(Cl)(Cl)Cl,442,16.1,17.799845
445,445,445,CCCCCCCCCCCCCCCCO,445,16.4,16.402313
448,448,448,ClCC=O,448,16.2,16.906647
449,449,449,OC(=O)CCl,449,17.7,16.74134
450,450,450,ClC1=CC(=O)OC1=O,450,20.4,19.46959
451,451,451,CC(=O)CCl,451,16.8,16.448906
457,457,457,FC(F)Cl,457,12.3,16.161535
460,460,460,[O-][N+](=O)CCl,460,17.4,17.625471
464,464,464,OCC=Cc1ccccc1,464,19.1,18.816908
471,471,471,C/C=C/C(O)=O,471,16.8,16.79982
475,475,475,BrC#N,475,18.3,15.56054
482,482,482,C1CCCCC1,482,16.8,16.824171
485,485,485,O=C1CCCCC1,485,17.8,17.662485
501,501,501,CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,501,17.8,17.358967
504,504,504,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,504,12.9,14.300461
507,507,507,Cc1ccc(cc1)[S](=O)c2ccc(C)cc2,507,20.3,19.543941
525,525,525,CC(C)[S](=O)C(C)C,525,17.0,16.815353
527,527,527,CCCC[S](=O)CCCC,527,16.4,16.3519
530,530,530,CCC[S](=O)CCC,530,17.0,16.299427
531,531,531,CCC(C)OC(C)CC,531,15.2,15.31226
533,533,533,C=CCNCC=C,533,15.6,14.964387
538,538,538,O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,538,17.8,17.11642
539,539,539,BrCBr,539,19.0,18.443933
542,542,542,CCCCOC(=O)\C=C/C(=O)OCCCC,542,16.5,16.699636
543,543,543,CCCCOC(=O)c1ccccc1C(=O)OCCCC,543,17.8,17.375723
560,560,560,CCOC(=O)C(=O)OCC,560,16.2,15.516721
561,561,561,CCOC(=O)c1ccccc1C(=O)OCC,561,17.6,18.156042
566,566,566,OCCOCCO,566,16.6,16.248861
573,573,573,CCCCOCCOCCO,573,16.0,15.929329
581,581,581,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,581,17.0,17.039188
582,582,582,SS,582,17.3,15.695865
588,588,588,CO[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC,588,17.6,18.006266
589,589,589,COC(=O)CCC(C)C(=O)OC,589,16.6,15.703668
593,593,593,COC(=O)OC,593,15.5,15.803501
597,597,597,COC,597,15.2,14.77392
602,602,602,CO[P](C)(=O)OC,602,16.7,15.571767
617,617,617,C(c1ccccc1)c2ccccc2,617,19.5,19.65548
620,620,620,CC(O)COC(C)CO,620,16.5,15.895036
622,622,622,CCCCOC(C)COC(C)CO,622,15.7,15.711379
626,627,626,CCCCCCCCCCCC,626,16.0,15.886529
636,637,636,CCO,636,15.8,15.634018
649,650,649,CCCCC(=O)CC,649,16.2,16.00379
661,662,661,CCOC=O,661,15.5,15.547062
665,666,665,CCOC(C)=C,665,14.8,14.699261
667,668,667,CCOC(=O)C(C)O,667,16.0,15.842288
668,669,668,CCOC(=O)C(C)=C,668,15.8,15.545043
