,number,actual,predict,SMILES
0,186,0.45,-0.7575331926345825,Cc1cccc(C)n1
1,608,-3.38,-3.4273014068603516,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O 
2,204,-1.41,-2.633608102798462,CC(C)Cl
3,603,0.48,0.2784575819969177,COCOC
4,1028,-4.42,-4.574316501617432,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
5,338,-2.148,-2.1530377864837646,O=C1NC(=O)NC(=O)C1(CC)C(C)C
6,44,-2.06,-2.9073288440704346,C1C=CCC=C1
7,757,-1.92,-1.5616583824157715,CC(C)CCOC(=O)C
8,1083,-2.31,-2.234653949737549,ClC(Cl)(Cl)Cl
9,376,-0.83,-2.422844648361206,C=CCS(=O)SCC=C
10,487,-3.924,-3.1589608192443848,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
11,333,-1.614,-1.7919267416000366,O=C1NC(=O)NC(=O)C1(CC)CC=C
12,536,-0.6,-3.122264862060547,O=C1CCCCC1
13,452,-3.33,-2.882233142852783,Oc1c(Br)cc(C#N)cc1Br 
14,370,-2.12,-1.092335820198059,Nc1ncnc2nc[nH]c12 
15,1047,-3.68,-4.022792339324951,O2c1ccccc1N(CC)C(=O)c3ccccc23 
16,843,-6.8,-4.844398021697998,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl
17,471,-1.96,-2.934084415435791,CC1(C)C2CCC1(C)C(=O)C2
18,988,-3.0,-4.5311994552612305,CCC(=O)Nc1ccc(Cl)c(Cl)c1
19,616,-3.504,-4.009925365447998,N(c1ccccc1)c2ccccc2
20,273,-2.78,-3.1808109283447266,COc1cccc(Cl)c1
21,205,-3.52,-2.836414098739624,Cc1ccccc1Cl
22,746,-3.61,-3.9876396656036377,Oc1c(I)cc(C#N)cc1I
23,883,-4.8,-5.09821081161499,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C
24,367,-3.67,-4.327387809753418,c3ccc2nc1ccccc1cc2c3
25,156,-6.01,-5.728693962097168,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
26,1129,0.43,-1.7415070533752441,CCOP(=O)(OCC)OCC
27,440,-4.345,-3.5228700637817383,c1ccc(cc1)c2ccccc2
28,203,-1.06,-0.8707101345062256,Oc1ccccc1Cl
29,728,-2.92,-3.7391915321350098,N(Nc1ccccc1)c2ccccc2 
30,729,-1.93,-3.057096242904663,c1ccccc1C(O)C(O)c2ccccc2
31,515,-2.54,-2.4449894428253174,CC/C=C\C
32,71,-2.03,-1.4230952262878418,CCCCCl
33,150,-3.1,-4.241486549377441,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
34,405,-4.45,-4.769378662109375,N(=Nc1ccccc1)c2ccccc2
35,1061,-4.522,-3.7458879947662354,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
36,826,-0.39,-0.30291664600372314,CCCOC
37,1107,-4.47,-2.1349217891693115,C/C1CCC(\C)CC1
38,1032,-4.114,-3.8495380878448486,CCN2c1nc(Cl)ccc1N(C)C(=O)c3cccnc23 
39,1118,-2.68,-3.4264943599700928,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl 
40,871,-3.76,-4.9342942237854,Clc1cccc(n1)C(Cl)(Cl)Cl
41,1119,-0.22,-1.4676183462142944,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
42,512,-8.057,-6.357476711273193,c1ccc2c(c1)ccc3c4ccccc4ccc23
43,715,-1.71,-3.516838550567627,FC(F)(F)C(Cl)Br 
44,16,-4.5,-4.193078994750977,c1(Br)c(Br)cc(Br)cc1
45,163,-4.72,-4.606024265289307,Cc1cc2ccccc2cc1C
46,966,-4.15,-4.396744728088379,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
47,261,-0.62,-1.3984721899032593,CC(O)C(C)(C)C
48,39,-1.46,-1.2535676956176758,CCNC(=S)NCC
49,670,0.29,-1.5934045314788818,C#C
50,1023,-2.62,-2.8313815593719482,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
51,350,-7.02,-6.454745292663574,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
52,649,-3.42,-3.151686668395996,CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C
53,991,-3.493,-2.810344696044922,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
54,364,0.26,-0.08919019997119904,CC#N
55,1093,-3.46,-3.064634084701538,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O 
56,69,-1.32,-0.7094093561172485,ClCCBr
57,73,-3.12,-3.7131526470184326,CCCCCCCl
58,371,-3.48,-3.970609664916992,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
59,83,-3.01,-3.0603771209716797,CCCCCC#C
60,681,-6.025,-4.6054911613464355,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
61,760,-2.863,-2.63731050491333,CNC(=O)Oc1ccccc1C(C)C
62,795,-2.53,-2.28920316696167,CC(C)C1CCC(C)CC1O 
63,462,-2.18,-1.3989946842193604,CCCCS
64,778,-6.005,-3.292663335800171,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
65,1081,-2.54,-4.503114700317383,ClC(=C(Cl)Cl)Cl
66,1089,-2.676,-3.573733329772949,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
67,610,-2.58,-2.1436798572540283,CCCSCCC
68,361,1.58,0.08485579490661621,CC(=O)N
69,305,-4.907,-4.023933410644531,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
70,717,-6.317,-6.067039489746094,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
71,1066,-1.99,-0.9051785469055176,NC(=N)NS(=O)(=O)c1ccc(N)cc1 
