CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34
CC/C=C/C,-2.54
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
NC(N)=NC#N ,-0.31
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43
Cc1ccccc1C,-2.8
c1(Br)c(Br)cc(Br)cc1,-4.5
Cc1ccc(Cl)cc1,-3.08
NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
ClC(Cl)(Cl)N(=O)=O,-2.0
Cc1ncnc2nccnc12,-0.466
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02
CCCCCCCCC=C,-5.51
CCCCCCCCCCO,-3.63
O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349
c1ccc2c(c1)ccc3ccccc32,-5.26
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34
CCC(CC)C=O,-1.52
CC/C=C\C,-2.54
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-5.613
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
COc2ncc1nccnc1n2,-1.11
CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.634
Ic1ccccc1,-3.01
O=C1CCCCC1,-0.6
CCC(C)(C)CO,-1.04
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95
Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
CC2(C)C1CCC(C)(C1)C2=O,-1.85
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57
O=C1NC(=O)NC(=O)C1(C(C)C)CC=C(C)C,-2.593
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57
COC(=O)c1ccccc1C(=O)OC,-1.66
Oc2ccc1CCCCc1c2 ,-1.99
Cc1ccc2cc3ccccc3cc2c1,-6.96
CC(C)N(C(=O)CCl)c1ccccc1 ,-2.48
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
Cc1ccc(O)c(C)c1,-1.19
c1ccccc1O,0.0
CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,-3.561
CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
c1(OC)ccc(CC=C)cc1,-2.92
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28
OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ,-5.46
Brc1cc(Br)cc(Br)c1,-5.6
CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-2.21
Cc2cnc1cncnc1n2,-0.854
COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,-4.42
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,-4.46
CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-3.84
