[O-][N+](=O)c1ccc(F)cc1F,19.4
OC(=O)\C=C/c1ccccc1,19.1
CC1CCCCC1,16.0
CC(O)=S,17.0
CC(O)=O.CC(O)=O.OCCCCCCO,15.3
CCNCC,14.9
CC1=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)NC1=O,17.0
C[S](C)=O,18.4
CCSC#N,15.4
CSC,16.1
OC(F)(C(F)F)C(F)(F)F,17.2
COCCOC,15.4
COC(=O)c1ccccc1,18.9
FC(F)(F)c1ccc(Cl)c(Cl)c1,20.0
Cl\C=C\Br,17.2
OC(=O)C(O)=O,17.0
C1COCCN1,18.0
CCCCCC(=O)OCC,15.5
Clc1ccccc1,19.0
CN(C)[P](=O)(N(C)C)N(C)C,18.5
COC(=O)CCCCC(=O)OC,16.3
O=C1N[S](=O)(=O)c2ccccc12,21.1
CCCCCCO,15.9
CC(Br)=C,16.1
COc1ccccc1OC,19.2
COc1c(Cl)cc(Cl)cc1Cl,21.0
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,17.0
OCC#C,16.1
ClC(Cl)(Cl)C#N,16.4
FC(F)F,14.4
COCC(C)OC(C)=O,15.6
CCOC#CC,15.9
CO[P](=O)(OC)OC,15.7
CCO[P](=O)(OCC)OCC,16.7
OCCOCCO,16.6
CC1=CC(=O)CC(C)(C)C1,17.0
C1CC=CC1,16.7
Cc1occc1,17.3
OCCCCl,17.5
Oc1ccccc1C=O,19.0
Cc1ccccc1Br,19.3
ClCC(Cl)=C,16.2
ClC(Cl)=O,16.4
CC1(C)C2CCC(C2)C1=C,16.4
CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,16.2
CCc1ccc(O)cc1,18.3
OCC(F)(F)F,15.4
C=CCN=[N+]=[N-],16.8
Sc1cc(Cl)c(Cl)cc1Cl,21.0
C1CSC1,18.8
CC1OC(C)OC(C)O1,16.0
COC(=O)C=C,15.3
CCCOC=C,14.9
CCCCCCCCO,16.0
CC(C)CO,15.1
CCCCC(=O)CCCC,16.0
CCOCl,15.7
CCOC(=O)C=C,15.5
C1C=CC=C1,17.0
ClC(Cl)C#N,17.4
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,16.7
CCCCCCC=C,15.3
IC=C,18.0
[nH]1cnc2ncncc12,20.5
OCCSCCO,17.3
CCCCCC(O)=O,16.3
[Cl],17.3
Oc1cc(Cl)ccc1Cl,20.0
CCCCCCCC\C=C/CCCCCCCC(=O)OCC,16.2
CC(O)CCO,16.5
N#C/C=C/C#N,16.7
ClCC(Cl)(Cl)Cl,18.0
CCCC#N,15.3
CC\C(=C/C)C=O,16.1
Cn1ccnc1,19.7
