,smiles,actual,predict
0,N=C=O,15.8,15.683122
1,Cc1cccc(C)c1C,18.0,19.167273
2,Fc1c(Cl)cccc1Cl,19.4,19.828306
3,COC(=O)CCC(C)C(=O)OC,16.6,16.513964
4,ClC(Cl)(Cl)C=C,17.7,16.971212
5,NCC=C,15.5,15.487553
6,CC(C)COC(=O)C(C)C,15.1,15.737464
7,Clc1ccc(c2ccccc2)c(Cl)c1Cl,19.2,20.547613
8,CC(C)O[P](C)(=O)OC(C)C,16.4,16.31983
9,CC(C)Cl,15.0,15.964179
10,CC=C(Cl)Cl,16.9,16.513382
11,NCCc1c[nH]c2ccc(O)cc12,18.0,20.262472
12,BrCC(Br)=C,17.7,17.561018
13,CCC(N)=O,16.7,16.8379
14,CCO[Si](OCC)(OCC)OCC,13.9,15.266042
15,CO[N+]([O-])=O,15.8,15.773541
16,CCl,15.3,16.363047
17,ClC1=CC(=O)OC1=O,20.4,19.66865
18,CCOCc1ccccc1,18.4,18.971666
19,C[S](=O)(=O)c1ccccc1,20.0,19.07569
20,CCCCOC(=O)c1ccccc1C(=O)OCCCC,17.8,18.273203
21,BrC(=C)C=C,16.9,17.062899
22,CC(O)CCl,16.8,17.195318
23,CCC(C)Br,16.3,16.372492
24,CC(=O)c1ccc(Cl)cc1,19.6,19.857605
25,CCCCCCCCCCCCCC,16.2,16.57916
26,CCCCCl,16.2,16.129362
27,CCCCCCOCCOCCO,16.0,16.362452
28,FC(F)=C(F)F,15.1,15.194293
29,COC,15.2,15.055773
30,CCCCCCCCCCCCO,16.0,16.822939
31,CCCCC(=O)CC,16.2,15.88811
32,CC(C)NC(C)C,14.8,15.598979
33,CCOC(=O)CCCC(=O)OCC,16.3,16.530252
34,CC(O)=O.CC(O)=O.OCCO,16.2,15.582798
35,CC(=C)CCl,16.2,17.03512
36,CNCC(O)c1ccc(O)c(O)c1,20.5,18.882746
37,ClC(Cl)=C(Cl)Cl,18.3,18.38448
38,[Ca++].NC#N,15.5,16.691364
39,CC(O)CO,16.8,16.805971
40,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,11.3,12.476661
41,C/C=C/C=O,16.2,16.129406
42,C=CC=O,15.5,15.510701
43,CC(C)CC=O,14.7,15.779318
44,C=CCN=C=S,17.0,17.1507
45,IC[CH]=[C]=[CH2],17.4,17.489355
46,O=C\C=C\c1ccccc1,19.4,18.981794
47,COC(Cl)=O,16.3,16.481697
